package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.Internal.Review,Parser,0.46,1.038
lens-4.17.1,Control.Lens.Internal.Review,Simplifier,0.88,0.816
lens-4.17.1,Control.Lens.Internal.Setter,CodeGen,29.93,36.718
lens-4.17.1,Control.Lens.Internal.Setter,CorePrep,1.6,1.796
lens-4.17.1,Control.Lens.Internal.Setter,CoreTidy,0.69,0.653
lens-4.17.1,Control.Lens.Internal.Setter,Desugar,2.64,2.505
lens-4.17.1,Control.Lens.Internal.Setter,Parser,1.76,4.914
lens-4.17.1,Control.Lens.Internal.Setter,Simplifier,4.04,5.063
lens-4.17.1,Control.Lens.Internal.TH,CodeGen,71.18,85.298
lens-4.17.1,Control.Lens.Internal.TH,CorePrep,1,1.156
lens-4.17.1,Control.Lens.Internal.TH,CoreTidy,0.51,0.309
lens-4.17.1,Control.Lens.Internal.TH,Desugar,2.16,1.765
lens-4.17.1,Control.Lens.Internal.TH,Parser,2.89,7.082
lens-4.17.1,Control.Lens.Internal.TH,Simplifier,2.35,2.923
lens-4.17.1,Control.Lens.Internal.Zoom,CodeGen,262.35,336.91700000000003
lens-4.17.1,Control.Lens.Internal.Zoom,CorePrep,13.56,16.317
lens-4.17.1,Control.Lens.Internal.Zoom,CoreTidy,6.97,8.279
lens-4.17.1,Control.Lens.Internal.Zoom,Desugar,31.45,23.851
lens-4.17.1,Control.Lens.Internal.Zoom,Parser,6.02,17.505
lens-4.17.1,Control.Lens.Internal.Zoom,Simplifier,35.78,38.63
lens-4.17.1,Control.Lens.Iso,CodeGen,116.24000000000001,125.68099999999998
lens-4.17.1,Control.Lens.Iso,CorePrep,5.640000000000001,6.246
lens-4.17.1,Control.Lens.Iso,CoreTidy,2.6,2.136
lens-4.17.1,Control.Lens.Iso,Desugar,8.58,9.009
lens-4.17.1,Control.Lens.Iso,Parser,5.66,17.547
lens-4.17.1,Control.Lens.Iso,Simplifier,10.5,13.239
lens-4.17.1,Control.Lens.Lens,CodeGen,194.69,245.368
lens-4.17.1,Control.Lens.Lens,CorePrep,6.51,9.408
lens-4.17.1,Control.Lens.Lens,CoreTidy,3.86,2.126
lens-4.17.1,Control.Lens.Lens,Desugar,22.96,23.644
lens-4.17.1,Control.Lens.Lens,Parser,16.67,38.673
lens-4.17.1,Control.Lens.Lens,Simplifier,25.07,35.257
lens-4.17.1,Control.Lens.Level,CodeGen,35.78,47.579
lens-4.17.1,Control.Lens.Level,CorePrep,2.25,2.084
lens-4.17.1,Control.Lens.Level,CoreTidy,0.77,0.611
lens-4.17.1,Control.Lens.Level,Desugar,3.83,3.338
lens-4.17.1,Control.Lens.Level,Parser,2.15,6.929
lens-4.17.1,Control.Lens.Level,Simplifier,7.11,7.54
lens-4.17.1,Control.Lens.Operators,CodeGen,1.38,0.523
lens-4.17.1,Control.Lens.Operators,CorePrep,0.5599999999999999,0.122
lens-4.17.1,Control.Lens.Operators,CoreTidy,0.19,0.073
lens-4.17.1,Control.Lens.Operators,Desugar,0.37,0.168
lens-4.17.1,Control.Lens.Operators,Parser,0.87,2.424
lens-4.17.1,Control.Lens.Operators,Simplifier,0.48,0.18
lens-4.17.1,Control.Lens.Plated,CodeGen,129.20999999999998,154.239
lens-4.17.1,Control.Lens.Plated,CorePrep,6.359999999999999,7.724
lens-4.17.1,Control.Lens.Plated,CoreTidy,3.84,3.418
lens-4.17.1,Control.Lens.Plated,Desugar,15.29,15.716
lens-4.17.1,Control.Lens.Plated,Parser,10.03,25.028
lens-4.17.1,Control.Lens.Plated,Simplifier,26.63,29.456
lens-4.17.1,Control.Lens.Prism,CodeGen,87.91,110.685
lens-4.17.1,Control.Lens.Prism,CorePrep,3.75,4.541
lens-4.17.1,Control.Lens.Prism,CoreTidy,0.82,0.762
lens-4.17.1,Control.Lens.Prism,Desugar,5.23,5.343
lens-4.17.1,Control.Lens.Prism,Parser,3.37,10.636
lens-4.17.1,Control.Lens.Prism,Simplifier,6.91,9.248
lens-4.17.1,Control.Lens.Reified,CodeGen,332.24,409.684
lens-4.17.1,Control.Lens.Reified,CorePrep,13.56,18.046999999999997
lens-4.17.1,Control.Lens.Reified,CoreTidy,8.17,8.305
lens-4.17.1,Control.Lens.Reified,Desugar,29.06,33.669
lens-4.17.1,Control.Lens.Reified,Parser,11.74,23.693
lens-4.17.1,Control.Lens.Reified,Simplifier,85.32,75.201
lens-4.17.1,Control.Lens.Review,CodeGen,26.39,34.829
lens-4.17.1,Control.Lens.Review,CorePrep,1.94,2.16
lens-4.17.1,Control.Lens.Review,CoreTidy,0.44,0.357
lens-4.17.1,Control.Lens.Review,Desugar,3.65,3.598
lens-4.17.1,Control.Lens.Review,Parser,2.08,7.064
lens-4.17.1,Control.Lens.Review,Simplifier,5.97,4.082
lens-4.17.1,Control.Lens.Setter,CodeGen,129.32999999999998,166.25
lens-4.17.1,Control.Lens.Setter,CorePrep,5.720000000000001,7.535
lens-4.17.1,Control.Lens.Setter,CoreTidy,1.3,1.537
lens-4.17.1,Control.Lens.Setter,Desugar,15.41,12.608
lens-4.17.1,Control.Lens.Setter,Parser,8.9,29.967
lens-4.17.1,Control.Lens.Setter,Simplifier,21.62,24.69
lens-4.17.1,Control.Lens.TH,CodeGen,199.17000000000002,263.355
lens-4.17.1,Control.Lens.TH,CorePrep,6.71,8.649999999999999
lens-4.17.1,Control.Lens.TH,CoreTidy,1.71,1.644
lens-4.17.1,Control.Lens.TH,Desugar,9.34,10.769
lens-4.17.1,Control.Lens.TH,Parser,7.56,20.882
lens-4.17.1,Control.Lens.TH,Simplifier,14.56,17.382
lens-4.17.1,Control.Lens.Traversal,CodeGen,435.36,592.085
lens-4.17.1,Control.Lens.Traversal,CorePrep,21.049999999999997,25.482
lens-4.17.1,Control.Lens.Traversal,CoreTidy,7.62,7.109
lens-4.17.1,Control.Lens.Traversal,Desugar,61.62,72.093
lens-4.17.1,Control.Lens.Traversal,Parser,17.43,42.034
lens-4.17.1,Control.Lens.Traversal,Simplifier,72.85,79.093
lens-4.17.1,Control.Lens.Tuple,CodeGen,894.71,1157.557
lens-4.17.1,Control.Lens.Tuple,CorePrep,112.56,221.315
