package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.Internal.Instances,Specialise,0.14,0.063
lens-4.17.1,Control.Lens.Internal.Iso,CodeGen,15.2,16.683999999999997
lens-4.17.1,Control.Lens.Internal.Iso,CorePrep,0.99,1.11
lens-4.17.1,Control.Lens.Internal.Iso,CoreTidy,0.78,0.79
lens-4.17.1,Control.Lens.Internal.Iso,Desugar,15.01,7.331
lens-4.17.1,Control.Lens.Internal.Iso,Parser,1.64,5.602
lens-4.17.1,Control.Lens.Internal.Iso,Simplifier,13.19,18.688
lens-4.17.1,Control.Lens.Internal.Iso,SpecConstr,0.26,0.317
lens-4.17.1,Control.Lens.Internal.Iso,Specialise,0.33,0.365
lens-4.17.1,Control.Lens.Internal.Level,CodeGen,189.53,274.209
lens-4.17.1,Control.Lens.Internal.Level,CorePrep,7.3100000000000005,10.472000000000001
lens-4.17.1,Control.Lens.Internal.Level,CoreTidy,4.6,5.209
lens-4.17.1,Control.Lens.Internal.Level,Desugar,17.19,10.042
lens-4.17.1,Control.Lens.Internal.Level,Parser,2.91,9.103
lens-4.17.1,Control.Lens.Internal.Level,Simplifier,290.84999999999997,346.04200000000003
lens-4.17.1,Control.Lens.Internal.Level,SpecConstr,2.33,3.825
lens-4.17.1,Control.Lens.Internal.Level,Specialise,1.44,2.457
lens-4.17.1,Control.Lens.Internal.List,CodeGen,13.88,22.195
lens-4.17.1,Control.Lens.Internal.List,CorePrep,0.79,0.988
lens-4.17.1,Control.Lens.Internal.List,CoreTidy,0.34,0.261
lens-4.17.1,Control.Lens.Internal.List,Desugar,0.98,0.453
lens-4.17.1,Control.Lens.Internal.List,Parser,0.99,3.913
lens-4.17.1,Control.Lens.Internal.List,Simplifier,8.04,8.008999999999999
lens-4.17.1,Control.Lens.Internal.List,SpecConstr,0.3,0.358
lens-4.17.1,Control.Lens.Internal.List,Specialise,0.17,0.095
lens-4.17.1,Control.Lens.Internal.Magma,CodeGen,171.59,255.219
lens-4.17.1,Control.Lens.Internal.Magma,CorePrep,7.48,12.542
lens-4.17.1,Control.Lens.Internal.Magma,CoreTidy,7.88,7.545
lens-4.17.1,Control.Lens.Internal.Magma,Desugar,11.11,14.981
lens-4.17.1,Control.Lens.Internal.Magma,Parser,4.46,14.055
lens-4.17.1,Control.Lens.Internal.Magma,Simplifier,275.39000000000004,370.168
lens-4.17.1,Control.Lens.Internal.Magma,SpecConstr,2.2,4.926
lens-4.17.1,Control.Lens.Internal.Magma,Specialise,2.2,3.995
lens-4.17.1,Control.Lens.Internal.Prism,CodeGen,18.450000000000003,26.688000000000002
lens-4.17.1,Control.Lens.Internal.Prism,CorePrep,1.03,1.427
lens-4.17.1,Control.Lens.Internal.Prism,CoreTidy,0.76,0.885
lens-4.17.1,Control.Lens.Internal.Prism,Desugar,2.27,2.256
lens-4.17.1,Control.Lens.Internal.Prism,Parser,1.54,5.303
lens-4.17.1,Control.Lens.Internal.Prism,Simplifier,18.75,27.301000000000002
lens-4.17.1,Control.Lens.Internal.Prism,SpecConstr,0.25,0.405
lens-4.17.1,Control.Lens.Internal.Prism,Specialise,0.35,0.446
lens-4.17.1,Control.Lens.Internal.PrismTH,CodeGen,217.68,387.918
lens-4.17.1,Control.Lens.Internal.PrismTH,CorePrep,10.34,16.688000000000002
lens-4.17.1,Control.Lens.Internal.PrismTH,CoreTidy,5.02,6.814
lens-4.17.1,Control.Lens.Internal.PrismTH,Desugar,7.06,8.902
lens-4.17.1,Control.Lens.Internal.PrismTH,Parser,5.94,14.779
lens-4.17.1,Control.Lens.Internal.PrismTH,Simplifier,362.91,499.53700000000003
lens-4.17.1,Control.Lens.Internal.PrismTH,SpecConstr,3.52,5.964
lens-4.17.1,Control.Lens.Internal.PrismTH,Specialise,2.55,4.213
lens-4.17.1,Control.Lens.Internal.Review,CodeGen,6.41,6.89
lens-4.17.1,Control.Lens.Internal.Review,CorePrep,0.6,0.40800000000000003
lens-4.17.1,Control.Lens.Internal.Review,CoreTidy,0.31,0.253
lens-4.17.1,Control.Lens.Internal.Review,Desugar,0.65,0.492
lens-4.17.1,Control.Lens.Internal.Review,Parser,0.41,1.038
lens-4.17.1,Control.Lens.Internal.Review,Simplifier,3.7699999999999996,4.281
lens-4.17.1,Control.Lens.Internal.Review,SpecConstr,0.15,0.122
lens-4.17.1,Control.Lens.Internal.Review,Specialise,0.2,0.149
lens-4.17.1,Control.Lens.Internal.Setter,CodeGen,29.61,39.08
lens-4.17.1,Control.Lens.Internal.Setter,CorePrep,1.4,1.815
lens-4.17.1,Control.Lens.Internal.Setter,CoreTidy,0.71,0.79
lens-4.17.1,Control.Lens.Internal.Setter,Desugar,2.94,3.3
lens-4.17.1,Control.Lens.Internal.Setter,Parser,1.4,4.914
lens-4.17.1,Control.Lens.Internal.Setter,Simplifier,16.57,23.113999999999997
lens-4.17.1,Control.Lens.Internal.Setter,SpecConstr,0.26,0.323
lens-4.17.1,Control.Lens.Internal.Setter,Specialise,0.38,0.417
lens-4.17.1,Control.Lens.Internal.TH,CodeGen,48.46,60.841
lens-4.17.1,Control.Lens.Internal.TH,CorePrep,1.6,2.253
lens-4.17.1,Control.Lens.Internal.TH,CoreTidy,1.68,2.01
lens-4.17.1,Control.Lens.Internal.TH,Desugar,2.37,1.982
lens-4.17.1,Control.Lens.Internal.TH,Parser,1.99,7.082
lens-4.17.1,Control.Lens.Internal.TH,Simplifier,62.92,80.436
lens-4.17.1,Control.Lens.Internal.TH,SpecConstr,0.49,0.765
lens-4.17.1,Control.Lens.Internal.TH,Specialise,0.53,0.782
lens-4.17.1,Control.Lens.Internal.Zoom,CodeGen,359.64,484.334
lens-4.17.1,Control.Lens.Internal.Zoom,CorePrep,18.130000000000003,26.226
lens-4.17.1,Control.Lens.Internal.Zoom,CoreTidy,23.88,15.359
lens-4.17.1,Control.Lens.Internal.Zoom,Desugar,18.71,24.616
lens-4.17.1,Control.Lens.Internal.Zoom,Parser,6.04,17.505
